id,compartment,metabolite_dcid,metabolic_compartment_dcid
m02646s,dcs:CellularCompartmentExtracellular,bio/CHEMBL8659,bio/m02646s
m02647c,dcs:CellularCompartmentCytosol,bio/HMDB0001322,bio/m02647c
m02647m,dcs:CellularCompartmentMitochondria,bio/HMDB0001322,bio/m02647m
m02647p,dcs:CellularCompartmentPeroxisome,bio/HMDB0001322,bio/m02647p
m02647r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0001322,bio/m02647r
m02648c,dcs:CellularCompartmentCytosol,bio/HMDB0002177,bio/m02648c
m02648l,dcs:CellularCompartmentLysosome,bio/HMDB0002177,bio/m02648l
m02648r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0002177,bio/m02648r
m02648s,dcs:CellularCompartmentExtracellular,bio/HMDB0002177,bio/m02648s
m02649m,dcs:CellularCompartmentMitochondria,bio/HMDB0013032,bio/m02649m
m02649p,dcs:CellularCompartmentPeroxisome,bio/HMDB0013032,bio/m02649p
m02650p,dcs:CellularCompartmentPeroxisome,bio/MNXM47396,bio/m02650p
m02651p,dcs:CellularCompartmentPeroxisome,bio/HMDB0062513,bio/m02651p
m02652p,dcs:CellularCompartmentPeroxisome,bio/omega-COOH-tetranor-LTE3-CoA,bio/m02652p
m02653c,dcs:CellularCompartmentCytosol,bio/CHEMBL1503,bio/m02653c
m02653s,dcs:CellularCompartmentExtracellular,bio/CHEMBL1503,bio/m02653s
m02654c,dcs:CellularCompartmentCytosol,bio/HMDB0011723,bio/m02654c
m02655c,dcs:CellularCompartmentCytosol,bio/HMDB0003484,bio/m02655c
m02656c,dcs:CellularCompartmentCytosol,bio/MNXM12504,bio/m02656c
m02657c,dcs:CellularCompartmentCytosol,bio/CHEMBL2074916,bio/m02657c
m02657m,dcs:CellularCompartmentMitochondria,bio/CHEMBL2074916,bio/m02657m
m02657p,dcs:CellularCompartmentPeroxisome,bio/CHEMBL2074916,bio/m02657p
m02658c,dcs:CellularCompartmentCytosol,bio/CHEMBL446143,bio/m02658c
