reactionID,hm_38_gene,hm_19_gene
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1D,bio/hg19_ATP6V1D
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
bio/ATPasel,bio/hg38_ATP6V1A,bio/hg19_ATP6V1A
