ensemblID,systemsBiologyOntologyTerm,hm_38_gene,hm_19_gene
ENSG00000157350,"""SBO:0000243""",bio/hg38_ST3GAL2,bio/hg19_ST3GAL2
ENSG00000157353,"""SBO:0000243""",bio/hg38_FCSK,bio/hg19_FCSK
ENSG00000157399,"""SBO:0000243""",bio/hg38_ARSL,bio/hg19_ARSL
ENSG00000157404,"""SBO:0000243""",bio/hg38_KIT,bio/hg19_KIT
ENSG00000157426,"""SBO:0000243""",bio/hg38_AASDH,bio/hg19_AASDH
ENSG00000157540,"""SBO:0000243""",bio/hg38_DYRK1A,bio/hg19_DYRK1A
ENSG00000157593,"""SBO:0000243""",bio/hg38_SLC35B2,bio/hg19_SLC35B2
ENSG00000157680,"""SBO:0000243""",bio/hg38_DGKI,bio/hg19_DGKI
ENSG00000157764,"""SBO:0000243""",bio/hg38_BRAF,bio/hg19_BRAF
ENSG00000157765,"""SBO:0000243""",bio/hg38_SLC34A2,bio/hg19_SLC34A2
ENSG00000157881,"""SBO:0000243""",bio/hg38_PANK4,bio/hg19_PANK4
ENSG00000158006,"""SBO:0000243""",bio/hg38_PAFAH2,bio/hg19_PAFAH2
ENSG00000158008,"""SBO:0000243""",bio/hg38_EXTL1,bio/hg19_EXTL1
ENSG00000158019,"""SBO:0000243""",bio/hg38_BABAM2,bio/hg19_BABAM2
ENSG00000158022,"""SBO:0000243""",bio/hg38_TRIM63,bio/hg19_TRIM63
ENSG00000158050,"""SBO:0000243""",bio/hg38_DUSP2,bio/hg19_DUSP2
ENSG00000158079,"""SBO:0000243""",bio/hg38_PTPDC1,bio/hg19_PTPDC1
ENSG00000158089,"""SBO:0000243""",bio/hg38_GALNT14,bio/hg19_GALNT14
ENSG00000158104,"""SBO:0000243""",bio/hg38_HPD,bio/hg19_HPD
ENSG00000158125,"""SBO:0000243""",bio/hg38_XDH,bio/hg19_XDH
ENSG00000158161,"""SBO:0000243""",bio/hg38_EYA3,bio/hg19_EYA3
ENSG00000158296,"""SBO:0000243""",bio/hg38_SLC13A3,bio/hg19_SLC13A3
ENSG00000158402,"""SBO:0000243""",bio/hg38_CDC25C,bio/hg19_CDC25C
ENSG00000158467,"""SBO:0000243""",bio/hg38_AHCYL2,bio/hg19_AHCYL2
ENSG00000158470,"""SBO:0000243""",bio/hg38_B4GALT5,bio/hg19_B4GALT5
ENSG00000158516,"""SBO:0000243""",bio/hg38_CPA2,bio/hg19_CPA2
ENSG00000158525,"""SBO:0000243""",bio/hg38_CPA5,bio/hg19_CPA5
ENSG00000158571,"""SBO:0000243""",bio/hg38_PFKFB1,bio/hg19_PFKFB1
ENSG00000158578,"""SBO:0000243""",bio/hg38_ALAS2,bio/hg19_ALAS2
ENSG00000158623,"""SBO:0000243""",bio/hg38_COPG2,bio/hg19_COPG2
ENSG00000158669,"""SBO:0000243""",bio/hg38_GPAT4,bio/hg19_GPAT4
ENSG00000158716,"""SBO:0000243""",bio/hg38_DUSP23,bio/hg19_DUSP23
ENSG00000158786,"""SBO:0000243""",bio/hg38_PLA2G2F,bio/hg19_PLA2G2F
ENSG00000158825,"""SBO:0000243""",bio/hg38_CDA,bio/hg19_CDA
ENSG00000158828,"""SBO:0000243""",bio/hg38_PINK1,bio/hg19_PINK1
ENSG00000158850,"""SBO:0000243""",bio/hg38_B4GALT3,bio/hg19_B4GALT3
ENSG00000158864,"""SBO:0000243""",bio/hg38_NDUFS2,bio/hg19_NDUFS2
ENSG00000158865,"""SBO:0000243""",bio/hg38_SLC5A11,bio/hg19_SLC5A11
ENSG00000158874,"""SBO:0000243""",bio/hg38_APOA2,bio/hg19_APOA2
ENSG00000159063,"""SBO:0000243""",bio/hg38_ALG8,bio/hg19_ALG8
ENSG00000159082,"""SBO:0000243""",bio/hg38_SYNJ1,bio/hg19_SYNJ1
ENSG00000159131,"""SBO:0000243""",bio/hg38_GART,bio/hg19_GART
ENSG00000159199,"""SBO:0000243""",bio/hg38_ATP5MC1,bio/hg19_ATP5MC1
ENSG00000159202,"""SBO:0000243""",bio/hg38_UBE2Z,bio/hg19_UBE2Z
ENSG00000159228,"""SBO:0000243""",bio/hg38_CBR1,bio/hg19_CBR1
ENSG00000159231,"""SBO:0000243""",bio/hg38_CBR3,bio/hg19_CBR3
ENSG00000159267,"""SBO:0000243""",bio/hg38_HLCS,bio/hg19_HLCS
ENSG00000159322,"""SBO:0000243""",bio/hg38_ADPGK,bio/hg19_ADPGK
ENSG00000159337,"""SBO:0000243""",bio/hg38_PLA2G4D,bio/hg19_PLA2G4D
ENSG00000159339,"""SBO:0000243""",bio/hg38_PADI4,bio/hg19_PADI4
ENSG00000159348,"""SBO:0000243""",bio/hg38_CYB5R1,bio/hg19_CYB5R1
ENSG00000159398,"""SBO:0000243""",bio/hg38_CES5A,bio/hg19_CES5A
ENSG00000159399,"""SBO:0000243""",bio/hg38_HK2,bio/hg19_HK2
ENSG00000159423,"""SBO:0000243""",bio/hg38_ALDH4A1,bio/hg19_ALDH4A1
ENSG00000159433,"""SBO:0000243""",bio/hg38_STARD9,bio/hg19_STARD9
ENSG00000159459,"""SBO:0000243""",bio/hg38_UBR1,bio/hg19_UBR1
ENSG00000159461,"""SBO:0000243""",bio/hg38_AMFR,bio/hg19_AMFR
