id,name,compartment,chemicalFormula,bigg.metabolite,chebi,chembl,kegg.compound,metanetx.chemical,hmdb,pubchem.compound,lipidmaps,metabolite_dcid
m01579p,"""cis-2-methyl-5-isopropylhexa-2,5-dienoyl-CoA""",dcs:CellularCompartmentPeroxisome,C31H46N7O17P3S,c2m26dcoa,,,C11946,MNXM10980,HMDB0006540,53477855,,bio/HMDB0006540
m01580c,"""cis-aconitate""",dcs:CellularCompartmentCytosol,C6H3O6,,"""CHEBI:32805""",CHEMBL347285,C00417,MNXM162425,HMDB0000072,309,,bio/CHEMBL347285
m01580m,"""cis-aconitate""",dcs:CellularCompartmentMitochondria,C6H3O6,,"""CHEBI:32805""",CHEMBL347285,C00417,MNXM162425,HMDB0000072,309,,bio/CHEMBL347285
m01581c,"""cis-beta-D-glucosyl-2-hydroxycinnamate""",dcs:CellularCompartmentCytosol,C15H18O8,bdg2hc,"""CHEBI:62223""",,C05839,MNXM3238,HMDB0060077,5316113,,bio/HMDB0060077
m01582c,"""cis-cetoleic acid""",dcs:CellularCompartmentCytosol,C22H41O2,,"""CHEBI:32428""",CHEMBL3103072,,MNXM29246,HMDB0002884,5282771,LMFA01030088,bio/CHEMBL3103072
m01582l,"""cis-cetoleic acid""",dcs:CellularCompartmentLysosome,C22H41O2,,"""CHEBI:32428""",CHEMBL3103072,,MNXM29246,HMDB0002884,5282771,LMFA01030088,bio/CHEMBL3103072
m01582r,"""cis-cetoleic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C22H41O2,,"""CHEBI:32428""",CHEMBL3103072,,MNXM29246,HMDB0002884,5282771,LMFA01030088,bio/CHEMBL3103072
m01582s,"""cis-cetoleic acid""",dcs:CellularCompartmentExtracellular,C22H41O2,,"""CHEBI:32428""",CHEMBL3103072,,MNXM29246,HMDB0002884,5282771,LMFA01030088,bio/CHEMBL3103072
m01583c,"""cis-erucic acid""",dcs:CellularCompartmentCytosol,C22H41O2,,"""CHEBI:28792""",CHEMBL1173380,C08316,MNXM11520,HMDB0002068,5281116,LMFA01030089,bio/CHEMBL1173380
m01583l,"""cis-erucic acid""",dcs:CellularCompartmentLysosome,C22H41O2,,"""CHEBI:28792""",CHEMBL1173380,C08316,MNXM11520,HMDB0002068,5281116,LMFA01030089,bio/CHEMBL1173380
m01583r,"""cis-erucic acid""",dcs:CellularCompartmentEndoplasmicReticulum,C22H41O2,,"""CHEBI:28792""",CHEMBL1173380,C08316,MNXM11520,HMDB0002068,5281116,LMFA01030089,bio/CHEMBL1173380
m01583s,"""cis-erucic acid""",dcs:CellularCompartmentExtracellular,C22H41O2,,"""CHEBI:28792""",CHEMBL1173380,C08316,MNXM11520,HMDB0002068,5281116,LMFA01030089,bio/CHEMBL1173380
m01584c,"""cis-gondoic acid""",dcs:CellularCompartmentCytosol,C20H37O2,,"""CHEBI:32425""",,C16526,MNXM165514,HMDB0033022,5282768,LMFA01030085,bio/HMDB0033022
