reactionID,metabolic_compartment_dcid
bio/HMR_7623,bio/m02039c
bio/HMR_7625,bio/m02039c
bio/HMR_7627,bio/m02039c
bio/HMR_7677,bio/m02039c
bio/HMR_7678,bio/m02039c
bio/HMR_3871,bio/m02039c
bio/HMR_4498,bio/m02039c
bio/HMR_4500,bio/m02039c
bio/HMR_4714,bio/m02039c
bio/HMR_4718,bio/m02039c
bio/HMR_4723,bio/m02039c
bio/HMR_4732,bio/m02039c
bio/HMR_0663,bio/m02039c
bio/HMR_6539,bio/m02039c
bio/HMR_6542,bio/m02039c
bio/HMR_6544,bio/m02039c
bio/HMR_6546,bio/m02039c
bio/HMR_6548,bio/m02039c
bio/HMR_6551,bio/m02039c
bio/HMR_6554,bio/m02039c
bio/HMR_6555,bio/m02039c
bio/HMR_6559,bio/m02039c
bio/HMR_6563,bio/m02039c
bio/HMR_6566,bio/m02039c
bio/HMR_6567,bio/m02039c
bio/HMR_6568,bio/m02039c
bio/HMR_6573,bio/m02039c
bio/HMR_6574,bio/m02039c
bio/HMR_6576,bio/m02039c
bio/HMR_6579,bio/m02039c
bio/HMR_6587,bio/m02039c
bio/HMR_6592,bio/m02039c
bio/HMR_6595,bio/m02039c
bio/HMR_7655,bio/m02039c
bio/HMR_8813,bio/m02039c
bio/HMR_8815,bio/m02039c
bio/HMR_8822,bio/m02039c
bio/HMR_8824,bio/m02039c
bio/HMR_8835,bio/m02039c
bio/HMR_3929,bio/m02039c
bio/HMR_4336,bio/m02039c
bio/HMR_9726,bio/m02039c
bio/HMR_7908,bio/m02039c
bio/HMR_7910,bio/m02039c
bio/HMR_7912,bio/m02039c
bio/HMR_8105,bio/m02039c
bio/HMR_8106,bio/m02039c
bio/HMR_8107,bio/m02039c
bio/HMR_8108,bio/m02039c
bio/HMR_8109,bio/m02039c
bio/HMR_8110,bio/m02039c
bio/HMR_7669,bio/m02039c
bio/HMR_7670,bio/m02039c
bio/HMR_7672,bio/m02039c
bio/HMR_4160,bio/m02039c
